bodyDrift,colorShift,condition,error,id,image,latency,ok,pass,reasons,skinGain,structureChange,verdict
0.101,0.9,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/baseline/viton_12396_00_slightly_tight.png,20.08,True,baseline,,0.0062,11.104,slightly_tight
0.043,3.528,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/baseline/viton_12396_00_tight.png,13.49,True,baseline,,0.0195,16.538,tight
0.051,4.859,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/baseline/viton_12396_00_very_tight.png,13.43,True,baseline,,0.0388,15.455,very_tight
0.13,20.764,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/baseline/viton_12396_00_slightly_loose.png,13.36,True,baseline,,-0.0324,29.614,slightly_loose
0.089,7.044,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/baseline/viton_04066_00_slightly_tight.png,13.4,True,baseline,,0.058,11.083,slightly_tight
0.201,4.826,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/baseline/viton_04066_00_tight.png,13.43,True,baseline,,-0.0077,13.821,tight
0.15,4.439,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/baseline/viton_04066_00_very_tight.png,13.43,True,baseline,,0.0682,12.403,very_tight
0.153,6.899,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/baseline/viton_04066_00_loose.png,13.46,True,baseline,,-0.1047,23.738,loose
0.167,1.595,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/lora/viton_12396_00_slightly_tight.png,19.21,True,lora,,0.0162,14.42,slightly_tight
0.025,4.036,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/lora/viton_12396_00_tight.png,14.56,True,lora,,0.0304,11.877,tight
0.095,3.128,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/lora/viton_12396_00_very_tight.png,14.54,True,lora,,0.0225,15.088,very_tight
0.159,28.11,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_12396_00.jpg,,viton_12396_00_slightly_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/lora/viton_12396_00_slightly_loose.png,14.5,True,lora,,-0.0396,38.104,slightly_loose
0.069,3.239,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_slightly_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/lora/viton_04066_00_slightly_tight.png,14.57,True,lora,,-0.0246,11.979,slightly_tight
0.116,6.475,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/lora/viton_04066_00_tight.png,14.5,True,lora,,-0.0601,16.392,tight
0.145,3.532,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_very_tight,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/lora/viton_04066_00_very_tight.png,14.55,True,lora,,-0.0129,13.591,very_tight
0.14,17.329,/home/nhat/Downloads/japano/backend/ai_training/fit_dataset/images/person/viton_04066_00.jpg,,viton_04066_00_loose,/home/nhat/Downloads/japano/backend/ai_training/evaluation/run-20260826-084732/lora/viton_04066_00_loose.png,14.48,True,lora,,-0.1759,31.228,loose
